f,NPS
100,62.4992908553520
125,83.6832294020496
160,73.0486142597985
200,75.1721064747444
250,67.4366317243745
315,70.1419379240792
400,72.9014572877955
500,75.5492061680827
630,71.0862454134020
800,77.2837588096859
1000,74.8909922101077
1250,74.4042597570512
1600,73.8711878688243
2000,73.7018213550942
2500,72.6822527649613
3125,69.3360171726050
4000,65.6634358147897
5000,60.6954258539327
6300,56.3581409572927
8000,50.2926427285770
10000,45.9725408797897
